year,volume,issue,page,name1,middlename1,surname1,name2,middlename2,surname2,name3,middlename3,surname3,name4,middlename4,surname4,title,abstract,subfield
1970,7,1,19-29,James,R.,Abernathy,Bernard,G.,Greenberg,Daniel,G.,Horvitz,,,,Estimates of Induced Abortion in Urban North Carolina,"In 1965, Warner developed an interviewing procedure designed to eliminate evasive answer bias when questions of a sensitive nature are asked. He called the procedure ""randomized response."" The authors have been studying the technique for several years and, in this paper, are reporting some of the estimates of induced abortion in urban North Carolina using randomized response. Estimates of the proportion of women having an abortion during the past year among women 18-44 years of age are reported. For the study population indices were developed relating induced abortion to total conceptions for whites and nonwhites. The illegal abortion rate per 100 conceptions was estimated to be 14.9 for whites and 32.9 for nonwhites. Estimates of the proportion of women having an abortion during their lifetime among women 18 years old or over are also shown. Among ever married women, the proportion having an abortion during their lifetime declined as education increased. Estimates were high for women with 5 or more pregnancies. Most of the respondents stated that they were satisfied that the randomized response approach would not reveal their personal situation. Furthermore, they did not think their friends would truthfully respond to a direct question regarding abortion.",1
1970,7,1,31-41,John,D.,Allingham,T.,R.,Balakrishnan,John,F.,Kantner,,,,The End of Rapid Increase in the Use of Oral Anovulants? Some Problems in the Interpretation of Time Series of Oral Use Among Married Women,"Several problems in the interpretation of time series of oral anovulant usage are discussed, among them the shifting marriage-duration distribution over time. Standardization fails to negate the conclusion that the rate of increase in the proportion of women using orals has slackened since January 1966. Separate analyses by duration-specific rates of use and by marriage cohorts show that the two factors sustaining the initial spectacular growth rate in the use of orals--the ever-higher initial use rates of new marriage cohorts and the rapid adoption of orals among earlier cohorts at later durations--have lost their sustaining force. Further analysis indicates that concern over the pill as a health hazard is a major deterrent to substantial increase in oral usage. A final distribution of women by risk status with respect to oral use, and current and prospective oral use, shows that under present circumstances the maximum oral use rate will be considerably less than unity.",1
1970,7,4,483-501,Eduardo,E.,Arriaga,,,,,,,,,,The Nature and Effects of Latin America's Non-Western Trend in Fertility,"A study by historical comparison of the fertility trends related to mortality levels is made between Latin America and Europe. The purpose of such study is to show why Latin America did not repeat the European mortality-fertility pattern during 1930-1960. Differences between the two areas are established, and an explanation is given about the particular Latin America mortality-fertility model. The effects of such a Latin America trend are pointed out, principally in relation to population growth, city growth and labor force. Hypothetical Latin American populations are calculated under the assumption that the area has repeated the European pattern. A comparison between these hypothetical populations with the actual ones shows how different the situation of the area has actually been. Nevertheless, an analysis of the necessary fertility changes in order to reproduce the European model shows that it was impossible for Latin America to repeat the European mortality-fertility experience during 1930-1960.",1
1970,7,4,459-465,T.,R.,Balakrishnan,J.,D.,Allingham,J.,F.,Kantner,,,,Analysis of Oral Contraceptive Use Through Multiple Decrement Life Table Techniques,"Multiple decrement life table technique is used to analyze the oral contraceptive use in a sample of once married women in Metropolitan Toronto. The overall pattern in the Canadian data is found to be essentially similar to that found in the U. S. Continuation rates show differences by cause of decrement. Two types of rates, net and absolute, are presented, and the relationship between single decrement continuation rates and total continuation rates is examined. Some problems of clinical versus retrospective sample survey data in studies of contraceptive effectiveness are commented on.",1
1970,7,1,53-60,Larry,D.,Barnett,,,,,,,,,,U. S. Population Growth as an Abstractly-Perceived Problem,"Recent public opinion polls report that a majority of Americans consider the nation's population growth rate to be a ""serious"" problem. Little systematic evidence exists on whether they view the problem as a factor that the individual married couple should consider in deciding on family size. A survey of 134 adult women living in a limited-income family housing project in a relatively small and isolated American community suggests: the view that continued population growth is a problem in the United States is endorsed more strongly than the view that the couple has a responsibility to limit its fertility because of overpopulation; and concern with population growth is only loosely associated with acceptance of the individual responsibility attitude. Among subgroups of respondents, Catholics were more likely to hold a negative attitude toward population growth than to possess the individual responsibility view and they exhibited a correlation between the two attitudes. Protestants were distinguished by no difference in or correlation between the acceptance of the two attitudes. A correlation between the attitudes was especially pronounced among Catholics with high achievement values. It is suggested that measures explicitly intended to control population growth probably cannot be adopted until there is a strong correlation between the two attitudes.",6
1970,7,2,175-183,Lawrence,A.,Brown,Frank,E.,Horton,Robert,I.,Wittick,,,,On Place Utility and the Normative Allocation of Intra-Urban Migrants,"This paper arises out of the fact that place utility, a basic factor in behavioral conceptualizations of migration processes, has not been specified in operational terms. This is done here through a model that assigns intraurban migrants to destination areal units within the city, using a normative linear programming framework based on behavioral considerations. Measures of place utilities for each areal unit and of comparative place utilities for each pair-wise permutation of areal units are provided by the shadow prices of the dual of the linear programming model. The primal of the model allocates migrants so as to maximize the household's gain from migration. This is measured by the increase in its realized aspirations with respect to a residence site, tempered by the search effort involved in acquiring the site. Implementation of the model utilizes both questionnaire and published data from Cedar Rapids, Iowa for the year 1966 to 1967. Conformity between predictions of the model and real-world characteristics is such that it is concluded that the basic form of the model is sound. It is also concluded that the posited relationships between place utility and behavior in searching for and selecting a new residential site are reasonable and can lead to valuable insights into place utility and its functioning in the intra-urban system. Due to some misallocation of migrant flows, however, we further conclude that the model should be revised into a recursive format for future use.",3
1970,7,1,61-69,Thomas,K.,Burch,,,,,,,,,,Some Demographic Determinants of Average Household Size: An Analytic Approach,"Descriptions of non-nuclear family systems in terms of rules of residence imply large and complex households, yet such households are not encountered as modal or average for large populations. Demographic factors, in particular high mortality, have been suggested as possible explanations for the apparent discrepancy. The purpose of this paper is to investigate the influence of demographic variables (viz., mortality, fertility, age at marriage) on average household size under different family systems--nuclear, extended and stem. The approach used has been applied by Coale to stationary populations. It has here been modified to apply to stable populations. The results indicate that under all family systems, average household size is positively correlated with fertility, life expectancy, and average age at marriage. Households under nuclear and stem family systems never exceed 10 persons on average. By contrast, under extended family systems, when mortality is low and fertility is high, average household size reaches levels seldom if ever observed in reality, e.g., 25 persons per household. Large households under the extended family system also tend to be fairly complex, often containing 5 or more adults. A number of modifications in the model would make for greater fit between model and real family systems. A more fruitful approach would involve the simulation of household formation and development.",1
1970,7,1,93-120,Ansley,J.,Coale,,,,,,,,,,The Use of Fourier Analysis to Express the Relation Between Time Variations in Fertility and the Time Sequence of Births in a Closed Human Population,"A fundamental theorem of mathematical demography states that two closed populations sharing the same extended history of net fertility, no matter how variable, have the same age composition. In consequence, when in any population net fertility has long followed a purely repetitive cycle, age composition must also be repetitive with the same cycle length. Under these conditions annual births follow a path that is an exponential multiplied by a periodic time-function. If the time variation of fertility is a small amplitude sinusoidal oscillation, the periodic component of the birth sequence is also sinusoidal. The relative amplitude and timing of fertility oscillations and the consequent birth fluctuations are functions of the duration (or frequency) of the fertility cycle; the nature of the functions is determined by the age structure of net fertility. Any time sequence of fertility variation over an extended period of time can be treated as if part of a repetitious cycle of very long duration. By Fourier analysis the fertility sequence can be expressed as the sum of a series of sinusoidal terms; and finally the sinusoidal components of the resultant birth sequence can be derived. The calculated birth sequence closely approximates the actual.",1
1970,7,3,379-392,Edwin,D.,Driver,,,,,,,,,,Summary of the Social Sciences and Population Policy: A Survey,"This survey makes quite explicit the willingness of the social sciences and demography to initiate or expand teaching, research, and training on population policy. The disciplines now differ greatly in these activities. Of the 117 suggestions for research on policy, 41 are related to policy content; 16 to policy initiative and implementation; 47 to policy evaluation; and 13 to policy philosophy. The social scientists identified thirteen barriers which obstruct them from undertaking the needed research. Nine of the same barriers were named by the demographers. Barriers associated with the academic profession itself include expertise or technical competence, data limitations, ideology, professional identification, intellectual priorities, and role strains. The remaining barriers are associated with the organization of the university or the larger society rather than the academic profession.",6
1970,7,2,185-193,Ozzie,L.,Edwards,,,,,,,,,,Patterns of Residential Segregation within a Metropolitan Ghetto,"The residential segregation of families by income and by stage of the family life cycle within Milwaukee's black community resembles in both pattern and degree that in the white community. The greater the difference in income, the more dissimilar are the distributions by census tract. Dissimilarity is greater between younger couples without children and older couples with children than between any other pair of family types defined by husband's age and presence of children. However, segregation by income was substantially greater than by family type in 1960. The bases of selectivity of blacks in ""changing"" areas of the city, where the proportion black is still relatively low, and of whites in the ""suburban"" areas adjoining the city are similar. Families in the higher income groups and couples with children are over-represented in these areas. It would appear that given the pressures of limited housing space in the inner core of the black community, given the fact that certain amenities are not available in that area, and given the economic and social barriers which restrict the movement of blacks into the suburbs, the changing areas must function as ""suburbs"" for the black community.",3
